===== Table S12A base 10yr
Table S12.A. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Base model |  |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke |  | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men | 
Age, per 10 years | 0.7939329 | 0.7688528 | 0.719883 | 0.7099847 | 0.8998235 | 0.8972642 | 0.7587146 | 0.7423283 | 0.6907849 | 0.722513 | 
non-HDL-C per 1 mmol/L | 0.0305239 | 0.0736174 | 0.1176967 | 0.1658663 |  |  | 0.1810949 | 0.2572109 | 0.0534279 | 0.0263348 | 
HDL-C per 0.3 mmol/L | -0.1606857 | -0.0954431 | -0.151185 | -0.1144285 |  |  | -0.2014507 | -0.1820374 | -0.1055109 | -0.0248959 | 
SBP <110 per 20 mmHg | -0.2394003 | -0.4347345 | -0.0835358 | -0.2837212 | -0.4559771 | -0.6811466 | -0.0881827 | -0.3174515 | -0.113078 | -0.268104 | 
SBP ≥110 per 20 mmHg | 0.3600781 | 0.3362658 | 0.3592852 | 0.3239977 | 0.3576505 | 0.3634461 | 0.3547731 | 0.312778 | 0.3665217 | 0.3474634 | 
Diabetes | 0.8667604 | 0.7692857 | 0.8348585 | 0.7189597 | 1.038346 | 0.923776 | 0.9045358 | 0.7485249 | 0.8013721 | 0.684699 | 
Current smoking | 0.5360739 | 0.4386871 | 0.4831078 | 0.3956973 | 0.583916 | 0.5023736 | 0.5410917 | 0.3912047 | 0.4187039 | 0.3874844 | 
BMI <30, per 5 kg/m2 |  |  |  |  | -0.0072294 | -0.0485841 |  |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2997706 | 0.3726929 |  |  |  |  | 
eGFR <60, per -15 ml | 0.6045917 | 0.5378979 | 0.4864619 | 0.3690075 | 0.7451638 | 0.6926917 | 0.5198725 | 0.376487 | 0.4539767 | 0.3877827 | 
eGFR 60+, per -15 ml | 0.0433769 | 0.0164827 | 0.0397779 | 0.0203619 | 0.0557087 | 0.0251827 | 0.0325935 | 0.0193687 | 0.0515087 | 0.0201965 | 
Anti-hypertensive use | 0.3151672 | 0.288879 | 0.2265309 | 0.2036522 | 0.3534442 | 0.2980922 | 0.2010642 | 0.1588199 | 0.2494624 | 0.232963 | 
Statin use | -0.1477655 | -0.1337349 | -0.0592374 | -0.0865581 |  |  | -0.036195 | -0.0494555 | -0.0798829 | -0.1178935 | 
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0663612 | -0.0475924 | -0.0395762 | -0.0322916 | -0.0981511 | -0.0497731 | -0.0891238 | -0.0577851 | -0.0079039 | 0.0120926 | 
Treated non-HDL-C | 0.1197879 | 0.150273 | 0.0844423 | 0.114563 |  |  | 0.0750716 | 0.0809765 | 0.0833101 | 0.155739 | 
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0819715 | -0.0517874 | -0.0567839 | -0.0300005 |  |  | -0.0683256 | -0.0517872 | -0.0409242 | 0.0141928 | 
Age per 10yr * HDL-C per 1 mml/L | 0.0306769 | 0.0191169 | 0.0325692 | 0.0232747 |  |  | 0.0484755 | 0.0489033 | 0.016994 | -0.0111745 | 
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0946348 | -0.1049477 | -0.1035985 | -0.0927024 | -0.0946663 | -0.1289201 | -0.0898086 | -0.0850404 | -0.1191213 | -0.1155391 | 
Age per 10yr * diabetes | -0.27057 | -0.2251948 | -0.2417542 | -0.2018525 | -0.3581041 | -0.3040924 | -0.2569041 | -0.2107552 | -0.2480549 | -0.2123743 | 
Age per 10yr * current smoking | -0.078715 | -0.0895067 | -0.0791142 | -0.0970527 | -0.1159453 | -0.1401688 | -0.0786607 | -0.1206397 | -0.0998063 | -0.0824133 | 
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | -0.003878 | 0.0068126 |  |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1637806 | -0.1543702 | -0.1671492 | -0.1217081 | -0.1884289 | -0.1797778 | -0.1597513 | -0.07795 | -0.1759075 | -0.180789 | 
Constant | -3.307728 | -3.031168 | -3.819975 | -3.500655 | -4.310409 | -3.946391 | -4.608751 | -4.156753 | -4.409199 | -4.20881 | 
R-square | 0.9997 | 0.9992 | 0.9996 | 0.9989 | 0.9997 | 0.9993 | 0.9995 | 0.9988 | 0.9994 | 0.9987 | 
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  |  | 
===== Table S12B ACR 10yr
Table S12.B. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Enhanced for ACR |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.7969249 | 0.7768655 | 0.7201999 | 0.7141718 | 0.9145975 | 0.9111795 | 0.7614931 | 0.7502946 | 0.6930839 | 0.7318016
non-HDL-C per 1 mmol/L | 0.0256635 | 0.0659949 | 0.1135771 | 0.1602194 |  |  | 0.1765755 | 0.2509378 | 0.0497817 | 0.0213625
HDL-C per 0.3 mmol/L | -0.1588107 | -0.0951111 | -0.1493506 | -0.1139086 |  |  | -0.1996513 | -0.1815561 | -0.1036238 | -0.025297
SBP <110 per 20 mmHg | -0.2255701 | -0.420667 | -0.0726677 | -0.2719456 | -0.4441346 | -0.6693649 | -0.0760767 | -0.3062719 | -0.1018981 | -0.2574602
SBP ≥110 per 20 mmHg | 0.3396649 | 0.3120151 | 0.3436259 | 0.3058719 | 0.3260323 | 0.3290082 | 0.3374299 | 0.2951241 | 0.3513877 | 0.3284184
Diabetes | 0.8047515 | 0.698521 | 0.7773094 | 0.6600631 | 0.9611365 | 0.8377655 | 0.8515443 | 0.6940439 | 0.7371897 | 0.6166399
Current smoking | 0.5285338 | 0.4314669 | 0.4746662 | 0.3884022 | 0.5755787 | 0.4978917 | 0.5327847 | 0.3853768 | 0.4124697 | 0.3835512
BMI <30, per 5 kg/m2 |  |  |  |  | 0.0008831 | -0.042749 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2988964 | 0.3624165 |  |  |  | 
eGFR <60, per -15 ml | 0.4803511 | 0.3841364 | 0.3824646 | 0.2466316 | 0.5915291 | 0.5075796 | 0.4067587 | 0.2541989 | 0.3574419 | 0.2677033
eGFR 60+, per -15 ml | 0.0434472 | 0.009384 | 0.0394178 | 0.0151852 | 0.0556823 | 0.0137716 | 0.0325967 | 0.0141383 | 0.0505453 | 0.0139698
Anti-hypertensive use | 0.2985207 | 0.2676494 | 0.2125182 | 0.186167 | 0.3314097 | 0.2739963 | 0.1879265 | 0.1436559 | 0.2339584 | 0.213571
Statin use | -0.1497787 | -0.1390966 | -0.0603046 | -0.0894395 |  |  | -0.036242 | -0.051752 | -0.0828306 | -0.1219907
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0742889 | -0.0579315 | -0.0466053 | -0.0411884 | -0.1078596 | -0.0645712 | -0.0976864 | -0.0668907 | -0.0134372 | 0.0038137
Treated non-HDL-C | 0.106756 | 0.1383719 | 0.0733118 | 0.1058212 |  |  | 0.0631608 | 0.072524 | 0.073392 | 0.1454254
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0778126 | -0.0488332 | -0.0534262 | -0.028089 |  |  | -0.0644549 | -0.0501194 | -0.0378598 | 0.0165197
Age per 10yr * HDL-C per 1 mml/L | 0.0306768 | 0.0200406 | 0.0325689 | 0.0240427 |  |  | 0.0488099 | 0.0496393 | 0.0169872 | -0.010184
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0907168 | -0.102454 | -0.0999887 | -0.0912325 | -0.0875231 | -0.1230039 | -0.0856819 | -0.0834809 | -0.1157191 | -0.1131545
Age per 10yr * diabetes | -0.2705122 | -0.2236355 | -0.2411762 | -0.2004894 | -0.356859 | -0.3013297 | -0.2559883 | -0.2093613 | -0.2469561 | -0.2081075
Age per 10yr * current smoking | -0.0830564 | -0.089485 | -0.0826941 | -0.096936 | -0.1220248 | -0.1410318 | -0.0825615 | -0.1194638 | -0.1014342 | -0.0804025
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | -0.0053637 | 0.0021531 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1389249 | -0.1321848 | -0.1444737 | -0.1022867 | -0.1610389 | -0.1548018 | -0.1357371 | -0.0585638 | -0.155055 | -0.1617206
ln-ACR, mg/g, per 1 ln unit | 0.1793037 | 0.1887974 | 0.1501217 | 0.1510073 | 0.2197281 | 0.2306299 | 0.1588333 | 0.1440077 | 0.140267 | 0.1624239
Missing ACR/PCR/Dipstick | 0.0132073 | 0.0916979 | 0.0050257 | 0.0556 | 0.0326667 | 0.1472194 | 0.03215 | 0.0691246 | -0.0282752 | 0.0412377
Constant | -3.738341 | -3.510705 | -4.174614 | -3.85146 | -4.841506 | -4.556907 | -4.989932 | -4.50564 | -4.722218 | -4.594023
R-square | 0.9996 | 0.999 | 0.9994 | 0.9987 | 0.9995 | 0.9992 | 0.9994 | 0.9987 | 0.9993 | 0.9985
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0376 | 1.0009 | 1.0377 | 0.992 | 1.0291 | 0.9982 | 1.0167 | 0.9868 | 1.0507 | 1.0046
R-square | 0.991 | 0.9953 | 0.9982 | 0.997 | 0.9781 | 0.9909 | 0.9976 | 0.9967 | 0.9981 | 0.9965
===== Table S12C A1c 10yr
Table S12.C. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Enhanced for HbA1c |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.7858178 | 0.7699177 | 0.7111831 | 0.7064146 | 0.8997391 | 0.911787 | 0.7559415 | 0.7223642 | 0.6854957 | 0.7244468
non-HDL-C per 1 mmol/L | 0.0194438 | 0.0605093 | 0.106797 | 0.1532267 |  |  | 0.1663933 | 0.2443591 | 0.043261 | 0.0134286
HDL-C per 0.3 mmol/L | -0.1521964 | -0.0888525 | -0.1425745 | -0.1082166 |  |  | -0.1905004 | -0.1755236 | -0.0983793 | -0.0204357
SBP <110 per 20 mmHg | -0.2296681 | -0.417713 | -0.0736824 | -0.2675288 | -0.4422749 | -0.6568071 | -0.0768509 | -0.3025745 | -0.1017197 | -0.2506963
SBP ≥110 per 20 mmHg | 0.3465777 | 0.3288657 | 0.3480844 | 0.3173809 | 0.3378691 | 0.3524645 | 0.339647 | 0.3056892 | 0.3565955 | 0.3408562
Diabetes | 0.5366241 | 0.4759471 | 0.5112951 | 0.432604 | 0.681284 | 0.5849752 | 0.5632228 | 0.4874841 | 0.4609555 | 0.35355
Current smoking | 0.5411682 | 0.4385663 | 0.4880292 | 0.3958842 | 0.5886005 | 0.5014014 | 0.5478 | 0.3942456 | 0.4198301 | 0.3854904
BMI <30, per 5 kg/m2 |  |  |  |  | -0.0148657 | -0.0512352 |  |  |  | 
BMI 30+, per 5 kg/m2 |  |  |  |  | 0.2958374 | 0.365294 |  |  |  | 
eGFR <60, per -15 ml | 0.5931898 | 0.5334616 | 0.4754997 | 0.3665014 | 0.73447 | 0.6892219 | 0.5105085 | 0.3748008 | 0.4436518 | 0.3869787
eGFR 60+, per -15 ml | 0.0472458 | 0.0206431 | 0.0438132 | 0.0250243 | 0.05926 | 0.0292377 | 0.0381344 | 0.0250407 | 0.0544989 | 0.0237663
Anti-hypertensive use | 0.3158567 | 0.2917524 | 0.2259093 | 0.2061158 | 0.3543475 | 0.3038296 | 0.2023093 | 0.1616182 | 0.2493831 | 0.236159
Statin use | -0.1535174 | -0.1383313 | -0.0648872 | -0.0899988 |  |  | -0.0425927 | -0.0513733 | -0.0859775 | -0.1241976
Treated SBP ≥110 mm Hg per 20 mm Hg | -0.0687752 | -0.0482622 | -0.0437645 | -0.0334959 | -0.1002139 | -0.0515032 | -0.0953791 | -0.059131 | -0.0114564 | 0.0095878
Treated non-HDL-C | 0.1054746 | 0.1393796 | 0.0697082 | 0.1034168 |  |  | 0.0587372 | 0.0710909 | 0.0689079 | 0.1424174
Age per 10yr * non-HDL-C per 1 mmol/L | -0.0761119 | -0.0463501 | -0.0506382 | -0.0255406 |  |  | -0.0607664 | -0.0476587 | -0.036013 | 0.018922
Age per 10yr * HDL-C per 1 mml/L | 0.0307469 | 0.0205926 | 0.0327475 | 0.0247538 |  |  | 0.0485765 | 0.0502694 | 0.0171809 | -0.0093452
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg | -0.0905966 | -0.1037717 | -0.0996442 | -0.0917441 | -0.0878765 | -0.1262343 | -0.0841698 | -0.0838455 | -0.115679 | -0.1143576
Age per 10yr * diabetes | -0.2241857 | -0.1737697 | -0.1924338 | -0.1499195 | -0.303684 | -0.2449514 | -0.1986967 | -0.1630679 | -0.2025816 | -0.1559808
Age per 10yr * current smoking | -0.080186 | -0.0915839 | -0.0803539 | -0.098089 | -0.1178943 | -0.1392217 | -0.0807069 | -0.1220691 | -0.1003882 | -0.0824194
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | -0.008345 | 0.0009592 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1667286 | -0.1637039 | -0.1682586 | -0.1305231 | -0.1912183 | -0.1917105 | -0.1610913 | -0.0859505 | -0.1760082 | -0.1890904
HbA1c in DM, per 1% | 0.1338348 | 0.13159 | 0.1339055 | 0.1157161 | 0.1856442 | 0.1652857 | 0.1832739 | 0.1251064 | 0.0929695 | 0.1076023
HbA1c no DM, per 1% | 0.1622409 | 0.1295185 | 0.1596461 | 0.1288303 | 0.1833083 | 0.1505859 | 0.1755465 | 0.1177006 | 0.1545054 | 0.1408596
Missing HbA1c | -0.0142496 | -0.0128373 | 0.0015678 | -0.0010001 | -0.0143112 | -0.0113444 | 0.0268381 | 0.0285438 | -0.025509 | -0.0470943
Constant | -3.306162 | -3.040901 | -3.838746 | -3.51835 | -4.288225 | -3.961954 | -4.667457 | -4.219654 | -4.396448 | -4.179346
R-square | 0.9996 | 0.999 | 0.9995 | 0.9987 | 0.9996 | 0.9993 | 0.9995 | 0.9986 | 0.9994 | 0.9986
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0313 | 1.0263 | 1.0397 | 1.0343 | 1.0176 | 1.0216 | 1.0445 | 1.0794 | 1.0306 | 1.023
R-square | 0.9889 | 0.9966 | 0.9951 | 0.9961 | 0.9771 | 0.9948 | 0.9936 | 0.9967 | 0.9941 | 0.9952
===== Table S12D SDI 10yr
Table S12.D. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Enhanced for SDI |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men
Age, 10 years | 0.7754083 | 0.7756377 | 0.7028123 | 0.7150087 | 0.8819156 | 0.894179 | 0.7583013 | 0.7373893 | 0.6883817 | 0.7163792
